instruction,selected_layer_mult_rs,selected_layer_adjust_rs,selected_layer_add_vector,task_matrix,instr_dir,avg_proj,add_vector_weight,avg_proj_no_instr
punctuation:no_comma,-1,10,10,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[ 0.0085888   0.00563185  0.02322179 ... -0.00973146  0.00023749
  0.00695193]",tensor(0.7545),6.722333908081055,tensor(-5.9679)
change_case:english_lowercase,-1,18,18,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[ 0.01146132 -0.01988508 -0.00094235 ... -0.02474008  0.01670728
 -0.01495657]",tensor(29.0355),55.04124450683594,tensor(-26.0058)
detectable_format:number_bullet_lists,-1,20,20,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.00697716 -0.0101229  -0.01891949 ... -0.00897481  0.01652663
 -0.02081962]",tensor(53.3896),56.45935821533203,tensor(-3.0698)
detectable_format:json_format,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
startend:end_checker,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
detectable_format:multiple_sections,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
language:response_language_pa,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
startend:quotation,-1,26,26,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[ 0.00548899 -0.01679856 -0.04025529 ... -0.00465041 -0.00264293
  0.00608262]",tensor(86.3657),111.23216247558594,tensor(-24.8665)
language:response_language_mr,-1,30,30,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.01614579  0.00997521 -0.01091217 ... -0.01669836  0.00168968
 -0.01096569]",tensor(205.5685),348.996337890625,tensor(-143.4278)
detectable_format:number_highlighted_sections,-1,26,26,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.01087303 -0.02621539 -0.02601875 ... -0.02466303  0.02075146
 -0.01023545]",tensor(47.4165),77.4159164428711,tensor(-29.9995)
