model,prompt_id,method,setting,alpha,file,total_tokens,code_tokens,code_lines,pass_5_lines,pass_8_lines,pass_10_lines,pass_12_lines,pass_15_lines
google/gemma-2-2b-it,0,Matrix steering,alpha025,0.25,outputs/generations/batch_gemma/prompt_00_alpha025.txt,54,54,21,False,False,False,False,False
google/gemma-2-2b-it,0,Matrix steering,alpha05,0.5,outputs/generations/batch_gemma/prompt_00_alpha05.txt,54,54,21,False,False,False,False,False
google/gemma-2-2b-it,0,Matrix steering,alpha10,1.0,outputs/generations/batch_gemma/prompt_00_alpha10.txt,54,54,21,False,False,False,False,False
google/gemma-2-2b-it,0,Matrix steering,alpha20,2.0,outputs/generations/batch_gemma/prompt_00_alpha20.txt,54,14,1,True,True,True,True,True
google/gemma-2-2b-it,0,No steering,no_steering,0.0,outputs/generations/batch_gemma/prompt_00_no_steering.txt,54,54,21,False,False,False,False,False
google/gemma-2-2b-it,1,Matrix steering,alpha025,0.25,outputs/generations/batch_gemma/prompt_01_alpha025.txt,53,14,2,True,True,True,True,True
google/gemma-2-2b-it,1,Matrix steering,alpha05,0.5,outputs/generations/batch_gemma/prompt_01_alpha05.txt,53,14,2,True,True,True,True,True
google/gemma-2-2b-it,1,Matrix steering,alpha10,1.0,outputs/generations/batch_gemma/prompt_01_alpha10.txt,53,53,21,False,False,False,False,False
google/gemma-2-2b-it,1,Matrix steering,alpha20,2.0,outputs/generations/batch_gemma/prompt_01_alpha20.txt,53,53,6,False,True,True,True,True
google/gemma-2-2b-it,1,No steering,no_steering,0.0,outputs/generations/batch_gemma/prompt_01_no_steering.txt,53,14,2,True,True,True,True,True
google/gemma-2-2b-it,2,Matrix steering,alpha025,0.25,outputs/generations/batch_gemma/prompt_02_alpha025.txt,55,55,21,False,False,False,False,False
google/gemma-2-2b-it,2,Matrix steering,alpha05,0.5,outputs/generations/batch_gemma/prompt_02_alpha05.txt,55,55,21,False,False,False,False,False
google/gemma-2-2b-it,2,Matrix steering,alpha10,1.0,outputs/generations/batch_gemma/prompt_02_alpha10.txt,55,55,21,False,False,False,False,False
google/gemma-2-2b-it,2,Matrix steering,alpha20,2.0,outputs/generations/batch_gemma/prompt_02_alpha20.txt,55,55,21,False,False,False,False,False
google/gemma-2-2b-it,2,No steering,no_steering,0.0,outputs/generations/batch_gemma/prompt_02_no_steering.txt,55,55,21,False,False,False,False,False
google/gemma-2-2b-it,3,Matrix steering,alpha025,0.25,outputs/generations/batch_gemma/prompt_03_alpha025.txt,56,6,1,True,True,True,True,True
